;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
10;Paolo Parente;black;77;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/77.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/77.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/77.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/77.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/77.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/77.jpg?1517813031'};{3}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Balduvian Warlord;{T}: Remove target blocking creature from combat. Creatures it was blocking that hadn't become blocked by another creature this combat become unblocked, then it blocks an attacking creature of your choice. Activate this ability only during the declare blockers step.;uncommon;Creature — Human Barbarian;csp;Coldsnap;3;2
11;Hideaki Takamura;black;126;['B', 'U'];['B', 'U'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/126.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/126.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/126.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/126.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/126.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/126.jpg?1517813031'};{2}{U}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blizzard Specter;"Flying
Whenever Blizzard Specter deals combat damage to a player, choose one —
• That player returns a permanent they control to its owner's hand.
• That player discards a card.";uncommon;Snow Creature — Specter;csp;Coldsnap;2;3
12;Marcelo Vignali;black;104;['G'];['G'];Those who used reindeer as beasts of burden knew to avoid the centaurs, who raged at the enslavement of their spirit-kin.;{'small': 'https://img.scryfall.com/cards/small/en/csp/104.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/104.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/104.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/104.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/104.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/104.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Boreal Centaur;{S}: Boreal Centaur gets +1/+1 until end of turn. Activate this ability only once each turn. ({S} can be paid with one mana from a snow permanent.);common;Snow Creature — Centaur Warrior;csp;Coldsnap;2;2
13;Dan Dos Santos;black;105;['G'];['G'];Some creatures are bound to the cold by Rimewind magic. Others seek it out, adapted by two thousand years of the Ice. The Boreal, where Heidar's frigid sway is strongest, is home to both.;{'small': 'https://img.scryfall.com/cards/small/en/csp/105.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/105.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/105.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/105.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/105.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/105.jpg?1517813031'};{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Boreal Druid;{T}: Add {C}.;common;Snow Creature — Elf Druid;csp;Coldsnap;1;1
14;Cyril Van Der Haegen;black;2;['W'];['W'];"""More than snow falls from the Boreal skies."" —Arkin Egilsson, skycaptain";{'small': 'https://img.scryfall.com/cards/small/en/csp/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/2.jpg?1517813031'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Boreal Griffin;"Flying
{S}: Boreal Griffin gains first strike until end of turn. ({S} can be paid with one mana from a snow permanent.)";common;Snow Creature — Griffin;csp;Coldsnap;3;2
15;Heather Hudson;black;144;['U', 'W'];[];"""Who will stay the Tyrant's hand, As ice and woe both grip our land? The helpless feel his frozen brand."" —The Dynasty of Winter Kings";{'small': 'https://img.scryfall.com/cards/small/en/csp/144.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/144.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/144.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/144.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/144.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/144.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Boreal Shelf;"Boreal Shelf enters the battlefield tapped.
{T}: Add {W} or {U}.";uncommon;Snow Land;csp;Coldsnap;;
16;Cyril Van Der Haegen;black;78;['R'];['R'];"""To a trained mind, the cold is but a momentary distraction.""";{'small': 'https://img.scryfall.com/cards/small/en/csp/78.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/78.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/78.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/78.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/78.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/78.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Braid of Fire;Cumulative upkeep—Add {R}. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.);rare;Enchantment;csp;Coldsnap;;
17;rk post;black;106;['G'];['G'];"""I have been trapped in the lizard's lair for days. It seems to regard me as its child and will not let me leave."" —Aevar Borg, northern guide, journal entry";{'small': 'https://img.scryfall.com/cards/small/en/csp/106.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/106.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/106.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/106.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/106.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/106.jpg?1517813031'};{2}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Brooding Saurian;At the beginning of each end step, each player gains control of all nontoken permanents they own.;rare;Creature — Lizard;csp;Coldsnap;4;4
18;Kev Walker;black;107;['G'];['G'];The aurochs herd is content to graze—until the bull provides the dissenting urge to charge.;{'small': 'https://img.scryfall.com/cards/small/en/csp/107.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/107.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/107.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/107.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/107.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/107.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bull Aurochs;"Trample
Whenever Bull Aurochs attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.";common;Creature — Aurochs;csp;Coldsnap;2;1
19;Jeff Nentrup;black;53;['B'];['B'];Rimewind necromancers caught travelers in mystical blizzards then trapped their spirits in the mist of their final frozen breaths.;{'small': 'https://img.scryfall.com/cards/small/en/csp/53.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/53.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/53.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/53.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/53.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/53.jpg?1517813031'};{2}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Chilling Shade;"Flying
{S}: Chilling Shade gets +1/+1 until end of turn. ({S} can be paid with one mana from a snow permanent.)";common;Snow Creature — Shade;csp;Coldsnap;1;1
20;Jim Murray;black;52;['B'];['B'];"""Thick hides and layered armor won't help when I freeze you from the inside out."" —Heidar, Rimewind master";{'small': 'https://img.scryfall.com/cards/small/en/csp/52.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/52.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/52.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/52.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/52.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/52.jpg?1517813031'};{3}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Chill to the Bone;Destroy target nonsnow creature.;common;Instant;csp;Coldsnap;;
21;Mark Romanoski;black;136;[];[];The Phyrexian death machine awoke, its coldsteel heart imbuing it with sinister new power.;{'small': 'https://img.scryfall.com/cards/small/en/csp/136.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/136.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/136.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/136.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/136.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/136.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Coldsteel Heart;"Coldsteel Heart enters the battlefield tapped.
As Coldsteel Heart enters the battlefield, choose a color.
{T}: Add one mana of the chosen color.";uncommon;Snow Artifact;csp;Coldsnap;;
22;John Matson;black;29;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/29.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/29.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/29.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/29.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/29.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/29.jpg?1517813031'};{5}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Commandeer;"You may exile two blue cards from your hand rather than pay this spell's mana cost.
Gain control of target noncreature spell. You may choose new targets for it. (If that spell is an artifact, enchantment, or planeswalker, the permanent enters the battlefield under your control.)";rare;Instant;csp;Coldsnap;;
23;Joel Thomas;black;30;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/30.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/30.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/30.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/30.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/30.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/30.jpg?1517813031'};{2}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Controvert;"Counter target spell.
Recover {2}{U}{U} (When a creature is put into your graveyard from the battlefield, you may pay {2}{U}{U}. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)";uncommon;Instant;csp;Coldsnap;;
24;John Zeleznik;black;31;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/31.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/31.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/31.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/31.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/31.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/31.jpg?1517813031'};{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Counterbalance;Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, counter that spell if it has the same converted mana cost as the revealed card.;uncommon;Enchantment;csp;Coldsnap;;
25;Wayne Reynolds;black;3;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/3.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Cover of Winter;"Cumulative upkeep {S} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it. {S} can be paid with one mana from a snow permanent.)
If a creature would deal combat damage to you and/or one or more creatures you control, prevent X of that damage, where X is the number of age counters on Cover of Winter.
{S}: Put an age counter on Cover of Winter.";rare;Snow Enchantment;csp;Coldsnap;;
